fixed points found: 422
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.295424} | theta=['2', '3.433e-29', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.590849} | theta=['2', '3.431e-29', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.886273} | theta=['2', '3.427e-29', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.13885} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.425899} | theta=['2', '1.414e-28', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.712949} | theta=['2', '1.447e-28', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.287051} | theta=['2', '1.447e-28', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.574101} | theta=['2', '1.414e-28', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.86115} | theta=['2', '1.353e-28', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.34525} | theta=['2', '1.65e-29', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.563503} | theta=['2', '1.667e-29', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.781753} | theta=['2', '1.678e-29', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.218247} | theta=['2', '1.678e-29', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.436497} | theta=['2', '1.667e-29', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.65475} | theta=['2', '1.65e-29', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.199467} | theta=['2', '-4.589e-32', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.800533} | theta=['2', '-4.589e-32', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.372097} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.584981} | theta=['2', '-1.993e-27', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.791193} | theta=['2', '-7.682e-28', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.204315} | theta=['2', '-8.716e-28', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.400156} | theta=['2', '-1.901e-27', '-2'] | relevant=1 | gaussian=False
